,0
2007-03-20,106.999998
2007-03-21,107.259998
2007-03-22,111.000004
2007-03-23,109.499998
2007-03-26,108.699999
2007-03-27,108.360004
2007-03-28,106.599998
2007-03-29,107.399998
2007-03-30,107.349997
2007-04-02,107.1
2007-04-03,108.75
2007-04-04,108.889999
2007-04-05,107.550001
2007-04-09,108.400002
2007-04-10,108.900003
2007-04-11,110.010004
2007-04-12,109.560003
2007-04-13,109.949999
2007-04-16,110.0
2007-04-17,109.519997
2007-04-18,109.659996
2007-04-19,108.830004
2007-04-20,110.299997
2007-04-23,110.0
2007-04-24,110.0
2007-04-25,108.249998
2007-04-26,109.48
2007-04-27,108.299999
2007-04-30,114.250002
2007-05-01,111.199999
2007-05-02,125.670004
2007-05-03,127.010002
2007-05-04,135.799999
2007-05-07,134.300003
2007-05-08,135.500002
2007-05-09,136.98
2007-05-10,140.459995
2007-05-11,139.099998
2007-05-14,138.839998
2007-05-15,134.630003
2007-05-17,136.289997
2007-05-18,136.529999
2007-05-21,137.250004
2007-05-22,140.92
2007-05-23,140.979996
2007-05-24,140.900002
2007-05-25,139.429998
2007-05-29,141.949997
2007-05-30,143.690004
2007-05-31,148.540001
2007-06-01,151.009998
2007-06-04,150.019999
2007-06-05,150.950003
2007-06-06,148.400002
2007-06-07,147.019997
2007-06-08,139.060001
2007-06-11,144.160004
2007-06-13,146.65
2007-06-15,152.200003
2007-06-18,159.41
2007-06-19,164.249992
2007-06-20,166.089993
2007-06-21,162.399998
2007-06-22,165.209999
2007-06-25,168.999996
2007-06-26,163.500004
2007-06-27,161.849995
2007-06-28,163.129997
2007-06-29,166.089993
2007-07-02,165.499992
2007-07-06,162.000008
2007-07-09,162.000008
2007-07-10,160.249996
2007-07-11,158.990002
2007-07-12,157.989998
2007-07-13,167.800007
2007-07-16,167.999992
2007-07-17,171.590004
2007-07-18,167.810001
2007-07-19,170.890007
2007-07-20,167.000008
2007-07-23,165.499992
2007-07-27,158.570004
2007-08-15,133.959999
2007-08-17,135.780001
2007-08-23,145.869999
2007-08-24,142.250004
2007-08-27,138.430004
2007-10-02,154.74
2007-10-03,151.999998
2007-10-04,157.690001
2007-10-05,164.300003
2007-10-08,162.999992
2007-10-09,163.250008
2007-10-10,162.479992
2007-10-11,165.310001
2007-10-12,162.630005
2007-10-15,163.209991
2007-10-16,156.389999
2007-10-17,158.000002
2007-10-18,153.249998
2007-10-23,149.359999
2007-10-24,148.000002
2007-10-26,153.990002
2007-10-29,159.099998
2007-10-30,158.059998
2007-10-31,177.5
2007-11-01,186.060009
2007-11-02,191.749992
2007-11-05,185.610008
2007-11-06,192.460003
2007-11-07,198.999996
2007-11-08,200.020008
2007-11-09,185.0
2007-11-12,190.830002
2007-11-13,183.419991
2007-11-14,194.230003
2007-11-15,185.0
2007-11-16,186.000004
2007-11-19,182.870007
2007-11-20,183.500004
2007-11-21,179.290009
2007-11-23,183.600006
2007-11-26,183.75
2007-11-27,184.489994
2007-11-28,186.690006
2007-11-29,195.0
2007-11-30,204.659996
