,0
2007-03-20,17.3
2007-03-21,17.18
2007-03-27,18.250001
2007-03-28,18.28
2007-03-30,19.34
2007-04-10,20.12
2007-04-11,20.61
2007-04-13,20.75
2007-04-16,21.029999
2007-04-17,20.940001
2007-04-18,20.800001
2007-04-19,20.88
2007-04-20,21.149999
2007-04-23,21.22
2007-04-24,21.33
2007-04-25,21.46
2007-04-26,21.450001
2007-04-27,21.62
2007-04-30,21.86
2007-05-01,21.75
2007-05-02,21.659999
2007-05-03,21.430001
2007-05-04,22.15
2007-05-07,22.13
2007-05-08,22.700001
2007-05-10,22.440001
2007-05-11,21.97
2007-05-14,22.64
2007-05-17,22.850001
2007-05-18,22.75
2007-05-21,23.0
2007-05-22,23.51
2007-05-23,23.63
2007-05-24,23.360001
2007-05-25,22.809999
2007-05-29,22.87
2007-05-30,23.25
2007-05-31,23.200001
2007-06-01,23.360001
2007-06-04,23.43
2007-06-05,23.730001
2007-06-06,23.710001
2007-06-07,23.41
2007-06-08,22.960001
2007-06-11,23.569999
2007-06-12,23.38
2007-06-13,24.05
2007-06-14,24.17
2007-06-15,24.55
2007-06-18,24.14
2007-06-19,23.960001
2007-06-20,23.8
2007-06-21,23.64
2007-06-22,23.29
2007-06-25,23.439999
2007-06-26,22.99
2007-06-27,22.78
2007-06-28,22.809999
2007-06-29,22.929999
2007-07-09,23.27
2007-07-10,23.350001
2007-07-11,23.52
2007-07-12,23.689999
2007-07-13,23.68
2007-07-16,24.0
2007-07-18,25.640001
2007-07-19,25.79
2007-07-20,26.000001
2007-07-23,25.339999
2007-07-24,25.42
2007-07-25,24.990001
2007-07-26,24.240001
2007-07-27,23.949999
2007-07-30,24.100001
2007-08-02,23.16
2007-08-03,23.830001
2007-08-06,23.75
2007-08-07,23.77
2007-08-08,24.480001
2007-08-09,25.84
2007-08-10,25.33
2007-08-13,24.69
2007-08-15,24.199999
2007-08-16,23.62
2007-08-17,22.39
2007-09-25,27.129999
2007-09-26,27.49
2007-09-27,28.45
2007-09-28,29.180001
2007-10-01,28.920001
2007-10-02,29.0
2007-10-03,28.85
2007-10-04,28.690001
2007-10-17,28.009999
2007-10-18,28.300001
2007-10-19,28.07
2007-10-22,27.34
2007-10-23,27.770001
2007-10-24,28.060001
2007-10-25,28.47
2007-10-26,29.0
2007-10-29,28.560001
2007-10-30,28.12
2007-11-09,25.510001
2007-11-26,23.090001
2007-11-27,22.87
2007-11-28,23.25
