,0
2007-03-20,21.139999
2007-03-21,21.52
2007-03-22,21.940001
2007-03-23,21.75
2007-03-26,22.120001
2007-03-27,21.950001
2007-03-28,21.83
2007-03-29,21.92
2007-03-30,21.790001
2007-04-03,21.629999
2007-04-19,23.379999
2007-04-20,23.49
2007-04-23,23.379999
2007-04-24,23.59
2007-04-25,23.290001
2007-04-26,22.98
2007-04-27,23.18
2007-04-30,23.16
2007-05-01,23.17
2007-05-02,23.25
2007-07-06,23.76
2007-07-17,22.02
2007-07-18,22.34
2007-07-19,22.23
2007-07-20,21.98
2007-07-23,21.85
2007-07-27,21.549999
2007-07-30,21.040001
2007-08-24,22.559999
2007-11-02,18.610001
2007-11-06,18.1
2007-11-07,17.85
2007-11-08,17.690001
2007-11-12,18.280001
2007-11-13,18.719999
2007-11-14,19.5
2007-11-15,19.370001
2007-11-21,17.65
