,0
2007-03-19,94.410004
2007-03-20,95.419998
2007-03-21,95.779999
2007-03-22,96.889999
2007-03-23,96.720001
2007-03-26,96.419998
2007-03-27,96.209999
2007-03-28,95.379997
2007-03-29,95.400002
2007-03-30,95.940002
2007-04-02,95.419998
2007-04-03,95.959999
2007-04-04,97.099998
2007-04-05,96.82
2007-04-09,97.300003
2007-04-10,97.330002
2007-04-11,97.370003
2007-04-12,96.290001
2007-04-13,97.690002
2007-04-16,97.169998
2007-04-17,97.489998
2007-04-18,99.360001
2007-04-19,99.029999
2007-04-20,99.099998
2007-04-23,99.0
2007-04-24,99.550003
2007-04-25,99.349998
2007-04-26,101.0
2007-04-27,101.010002
2007-04-30,103.150002
2007-05-01,101.449997
2007-05-02,101.610001
2007-05-03,102.5
2007-05-04,103.889999
2007-05-07,103.900002
2007-05-08,104.209999
2007-05-09,104.029999
2007-05-10,104.120003
2007-05-11,104.349998
2007-05-14,105.07
2007-05-17,104.699997
2007-05-18,104.660004
2007-05-21,104.599998
2007-05-22,105.75
2007-05-23,105.919998
2007-05-24,105.129997
2007-05-25,103.860001
2007-05-29,103.0
2007-05-30,102.440002
2007-05-31,103.720001
2007-06-01,103.169998
2007-06-04,102.93
2007-06-05,102.300003
2007-06-06,101.349998
2007-06-07,100.0
2007-06-08,98.18
2007-06-11,99.599998
2007-06-15,102.050003
2007-06-18,102.519997
2007-06-19,101.75
2007-06-20,101.190002
2007-06-21,98.739998
2007-06-22,99.089996
2007-06-25,98.550003
2007-06-28,98.639999
2007-06-29,98.849998
2007-07-02,99.489998
2007-07-03,99.839996
2007-07-06,98.519997
2007-07-09,99.330002
2007-07-11,96.019997
2007-07-12,98.75
2007-07-13,98.889999
2007-07-16,97.839996
2007-07-17,97.639999
2007-07-18,97.379997
2007-07-19,97.43
2007-07-20,96.620003
2007-07-23,96.489998
2007-07-24,97.139999
2007-07-27,95.349998
2007-07-30,90.209999
2007-07-31,92.629997
2007-10-25,93.43
2007-10-29,97.889999
2007-10-31,96.410004
2007-11-01,96.07
2007-11-02,94.019997
2007-11-05,92.309998
2007-11-06,93.029999
2007-11-07,93.809998
2007-11-08,91.620003
2007-11-09,91.010002
2007-11-12,91.160004
2007-11-13,93.190002
2007-11-14,96.43
2007-11-15,94.220001
2007-11-16,94.339996
2007-11-19,92.349998
2007-11-21,87.870003
2007-11-29,93.910004
2007-11-30,95.260002
