,0
2007-03-19,72.0
2007-03-20,72.809998
2007-03-21,73.75
2007-03-22,74.739998
2007-03-23,74.199997
2007-03-26,72.370003
2007-03-27,68.260002
2007-03-28,67.370003
2007-03-29,69.949997
2007-03-30,68.959999
2007-04-26,78.239998
2007-04-27,79.290001
2007-04-30,78.599998
2007-05-01,76.739998
2007-05-02,76.690002
2007-05-03,77.5
2007-05-04,78.0
2007-05-07,78.330002
2007-05-08,77.510002
2007-05-10,78.660004
2007-05-11,77.760002
2007-05-14,77.150002
2007-05-31,79.0
2007-06-01,81.360001
2007-06-04,81.110001
2007-06-05,81.489998
2007-06-06,79.900002
2007-06-07,78.25
2007-06-11,78.889999
2007-06-15,83.360001
2007-06-18,85.599998
2007-06-19,84.349998
2007-06-20,84.419998
2007-06-25,82.900002
2007-06-26,82.690002
2007-06-28,81.199997
2007-06-29,81.379997
2007-07-02,80.0
2007-07-12,83.139999
2007-07-13,87.32
2007-07-16,87.290001
2007-07-17,88.410004
2007-07-18,85.519997
2007-07-19,87.940002
2007-07-20,90.0
2007-07-23,89.18
2007-07-24,86.559998
2007-07-25,85.629997
2007-07-27,91.400002
2007-07-30,91.5
2007-07-31,90.910004
2007-08-03,87.360001
