,0
2010-06-10,-24.2409766043
2010-06-11,-24.9328055129
2010-06-14,-24.8539829278
2010-06-15,-25.3786776975
2010-06-16,-25.5133896293
2010-06-17,-25.8753204892
2010-06-18,-25.8583603856
2010-06-21,-26.2048530653
2010-06-22,-25.4219982725
2010-06-23,-25.6349918314
2010-06-24,-24.7941600908
2010-06-25,-24.6863426638
2010-06-28,-25.2755988831
2010-06-29,-24.2817914192
2010-06-30,-23.6866505574
2010-07-01,-24.0438581254
2010-07-02,-23.7694598003
2010-07-06,-25.1350140272
2010-07-07,-25.7001112023
2010-07-08,-28.4364705533
2010-07-09,-28.8007409302
2010-07-12,-28.5216290318
2010-07-13,-28.8001843477
2010-07-14,-29.1945364868
2010-07-15,-29.2598664749
2010-07-16,-29.7108312945
2010-07-19,-27.9115503504
2010-07-20,-26.5029312071
2010-07-21,-26.6458864025
2010-07-22,-25.9094266648
2010-07-23,-27.496248406
2010-07-26,-28.5912886473
2010-07-27,-28.5920454817
2010-07-28,-26.0912545836
2010-07-29,-29.1518356536
2010-07-30,-28.4395458147
2010-08-02,-29.8355847358
2010-08-03,-30.6866727962
2010-08-04,-31.356486618
2010-08-05,-31.4867668284
2010-08-06,-32.1354086126
2010-08-09,-31.7601007905
2010-08-10,-32.159578961
2010-08-11,-32.2371853111
2010-08-12,-31.3972388492
2010-08-13,-33.6948709192
2010-08-16,-33.8231724628
2010-08-17,-34.2749039485
2010-08-18,-33.3381387432
2010-08-19,-32.8337826221
2010-08-20,-31.7953576386
2010-08-23,-31.730715038
2010-08-24,-33.0121504031
2010-08-25,-34.5050882729
2010-08-26,-34.4450888091
2010-08-27,-33.9075566651
2010-08-30,-34.7573250713
2010-08-31,-34.0711952977
2010-09-01,-33.6670812096
2010-09-02,-32.4715471154
2010-09-03,-31.8376336351
2010-09-07,-32.0012346698
2010-09-08,-31.8161649148
2010-09-09,-32.5006311097
2010-09-10,-31.5643291053
2010-09-13,-30.5044470096
2010-09-14,-30.1111846325
2010-09-15,-30.7311993254
2010-09-16,-30.5712000612
2010-09-17,-30.7251617389
2010-09-20,-30.8432482397
2010-09-21,-30.830354476
2010-09-22,-31.091345101
2010-09-23,-33.3069518315
2010-09-24,-32.4666286368
2010-09-27,-33.0524958744
2010-09-28,-33.204068892
2010-09-29,-32.6608626729
2010-09-30,-32.1750869629
2010-10-01,-31.9302311039
2010-10-04,-32.1671999913
2010-10-05,-32.0952417792
2010-10-06,-31.5093843643
2010-10-07,-34.4648742801
2010-10-08,-33.6829513899
2010-10-11,-34.2087905211
2010-10-12,-34.4477661677
2010-10-13,-34.9157354408
2010-10-14,-34.701743558
2010-10-15,-34.5911836178
2010-10-18,-34.4422516402
2010-10-19,-33.3251440979
2010-10-20,-33.6761976011
2010-10-21,-35.3926907799
2010-10-22,-35.3609649845
2010-10-25,-35.3339606732
2010-10-26,-35.1001033411
2010-10-27,-35.621918253
2010-10-28,-34.4073147796
2010-10-29,-34.4622850544
2010-11-01,-34.161876968
2010-11-02,-35.5660046345
2010-11-03,-32.8100367125
2010-11-04,-32.9627248443
2010-11-05,-28.3006944529
2010-11-08,-30.7362338497
2010-11-09,-27.9265838869
2010-11-10,-28.3320248097
2010-11-11,-27.5958794386
2010-11-12,-26.6658648255
2010-11-15,-28.6636504422
2010-11-16,-30.4353894018
2010-11-17,-28.4309653524
2010-11-18,-30.4027787982
2010-11-19,-29.8373079576
2010-11-22,-29.1273781016
2010-11-23,-29.4991486297
2010-11-24,-31.0339021053
2010-11-26,-31.7644107403
2010-11-29,-32.1648373392
2010-11-30,-32.0199522078
2010-12-01,-33.1930792283
2010-12-02,-32.3751851547
2010-12-03,-33.0104837353
2010-12-06,-34.7606039972
2010-12-07,-33.9615089711
2010-12-08,-34.2965416945
2010-12-09,-35.4986757364
2010-12-10,-34.9590999556
2010-12-13,-34.8317637503
2010-12-14,-35.0858021103
2010-12-15,-34.7927029573
2010-12-16,-34.4182841097
2010-12-17,-32.9808774722
2010-12-20,-31.1648642932
2010-12-21,-31.5175963442
2010-12-22,-31.9820331666
2010-12-23,-33.0348927134
2010-12-27,-34.1121481634
2010-12-28,-34.0507254368
2010-12-29,-34.2221260632
2010-12-30,-31.7490810633
2010-12-31,-30.7222543966
2011-01-03,-30.6988767445
2011-01-04,-30.4873005941
2011-01-05,-32.7953846728
2011-01-06,-32.2256436032
2011-01-07,-33.9719675305
2011-01-10,-30.3348653196
2011-01-11,-29.5182213857
2011-01-12,-29.1293896268
2011-01-13,-28.2908121357
2011-01-14,-29.2416783339
2011-01-18,-28.9025972526
2011-01-19,-27.5562648655
2011-01-20,-29.4713061417
2011-01-21,-27.0269131327
2011-01-24,-31.0122462151
2011-01-25,-32.0931032534
2011-01-26,-31.2297352372
2011-01-27,-31.2340348966
2011-01-28,-31.6953354504
2011-01-31,-32.1501484461
2011-02-01,-32.2550569524
2011-02-02,-32.8406762069
2011-02-03,-30.8972213727
2011-02-04,-31.4542918346
2011-02-07,-32.4527719124
2011-02-08,-32.1666173443
2011-02-09,-33.2492740276
2011-02-10,-33.6200876243
2011-02-11,-33.4208565262
2011-02-14,-34.3304050474
2011-02-15,-33.0988284561
2011-02-16,-34.8343379294
2011-02-17,-35.5103080861
2011-02-18,-35.7382018403
2011-02-22,-39.6166956257
2011-02-23,-42.0601461168
2011-02-24,-40.1373576575
2011-02-25,-40.2425102244
2011-02-28,-38.2522787967
2011-03-01,-37.508308208
2011-03-02,-38.1771146888
2011-03-03,-37.6405889928
2011-03-04,-39.087575311
2011-03-07,-38.3693450498
2011-03-08,-39.299831863
2011-03-09,-40.0092794766
2011-03-10,-39.2787572464
2011-03-11,-40.3191883479
2011-03-14,-39.3089617798
2011-03-15,-38.7692765484
2011-03-16,-34.9087869896
2011-03-17,-35.3298982067
2011-03-18,-33.5476888445
2011-03-21,-32.6362061219
2011-03-22,-33.0829211792
2011-03-23,-31.9057686772
2011-03-24,-32.1431915349
2011-03-25,-34.1916126258
2011-03-28,-36.8207275116
2011-03-29,-37.9164732418
2011-03-30,-39.3323891825
2011-03-31,-37.2324457005
2011-04-01,-36.2731046515
2011-04-04,-35.9632602983
2011-04-05,-34.1134619681
2011-04-06,-36.6388414997
2011-04-07,-38.3065707729
2011-04-08,-37.7651146856
2011-04-11,-37.5541716831
2011-04-12,-38.5032718286
2011-04-13,-38.7890552766
2011-04-14,-38.2335854558
2011-04-15,-38.7034846592
2011-04-18,-36.569228598
2011-04-19,-37.757331594
2011-04-20,-38.0678664969
2011-04-21,-38.9897899307
2011-04-25,-38.1471697034
2011-04-26,-38.3092365446
2011-04-27,-41.9619697721
2011-04-28,-44.3017995284
2011-04-29,-44.3524924543
2011-05-02,-45.7522176416
2011-05-03,-47.0867101553
2011-05-04,-44.757939256
2011-05-05,-45.0886242464
2011-05-06,-42.2367883621
2011-05-09,-42.8127732098
2011-05-10,-43.044291665
2011-05-11,-44.0883915016
