,0
2007-03-20,47.799999
2007-03-21,48.900002
2007-03-22,49.540001
2007-03-23,49.639999
2007-03-26,49.860001
2007-03-27,49.669998
2007-03-28,48.950001
2007-03-29,49.02
2007-03-30,48.950001
2007-04-02,48.91
2007-04-03,48.709999
2007-04-04,48.950001
2007-04-05,48.209999
2007-04-09,48.700001
2007-04-10,48.139999
2007-04-11,47.560001
2007-04-12,47.009998
2007-04-13,47.099998
2007-04-16,47.389999
2007-04-17,47.869999
2007-04-18,48.799999
2007-04-19,48.369999
2007-04-20,48.849998
2007-04-23,48.799999
2007-04-24,48.619999
2007-04-25,48.610001
2007-05-01,46.110001
2007-05-02,46.5
2007-05-03,46.619999
2007-05-04,46.990002
2007-06-19,45.900002
2007-06-20,45.299999
2007-06-21,45.029999
2007-06-22,44.52
2007-06-25,44.950001
2007-06-26,45.099998
2007-06-27,45.75
2007-06-29,46.639999
2007-07-03,46.970001
2007-07-05,47.0
2007-07-06,47.799999
2007-07-09,48.209999
2007-07-10,47.84
2007-07-11,47.5
2007-07-12,47.84
2007-07-13,48.009998
2007-07-16,47.299999
2007-07-17,47.099998
2007-07-18,46.310001
2007-07-19,46.439999
2007-07-20,46.830002
2007-07-23,46.799999
2007-07-27,44.599998
2007-07-30,44.240002
2007-07-31,45.049999
2007-08-01,44.139999
2007-08-02,44.310001
2007-10-17,48.93
2007-10-18,48.5
2007-10-19,47.75
2007-10-22,46.52
2007-10-23,47.240002
2007-10-24,47.259998
2007-10-25,47.75
2007-10-26,48.299999
2007-10-29,48.560001
2007-10-30,48.549999
2007-10-31,49.0
2007-11-01,47.990002
2007-11-02,47.349998
2007-11-05,47.080002
2007-11-06,46.759998
2007-11-07,46.5
2007-11-08,46.630001
2007-11-12,45.330002
2007-11-13,46.049999
2007-11-14,47.040001
2007-11-15,46.540001
2007-11-16,46.509998
2007-11-19,47.450001
2007-11-20,46.700001
2007-11-21,47.0
2007-11-23,48.5
2007-11-26,49.150002
2007-11-28,49.599998
2007-11-29,50.32
2007-11-30,51.040001
