,0
2007-03-20,51.899996
2007-03-21,51.410002
2007-03-22,53.630003
2007-03-26,54.659995
2007-03-27,54.779998
2007-03-28,54.8
2007-03-29,54.580004
2007-03-30,54.159996
2007-04-04,53.410006
2007-04-13,56.350007
2010-12-29,74.999998
2010-12-30,75.329997
2010-12-31,74.479997
2011-01-03,75.460002
2011-01-04,76.539999
2011-01-05,74.559997
2011-01-06,75.589997
2011-01-11,73.319996
2011-01-12,74.960003
2011-01-13,74.710003
2011-01-14,73.760002
2011-01-18,74.240007
2011-01-19,74.399998
2011-01-26,71.4
2011-02-22,74.530002
2011-02-23,73.749996
2011-02-24,73.920005
2011-02-25,73.299998
2011-03-01,73.960001
2011-03-08,73.200006
2011-03-18,71.419998
2011-03-21,70.620003
2011-03-22,71.349995
2011-03-23,70.97
2011-03-24,71.430003
2011-03-25,71.369992
2011-03-28,72.569993
2011-03-29,71.809998
2011-03-30,72.770005
2011-03-31,73.15
2011-04-01,74.819997
2011-04-04,73.990004
2011-04-05,73.269995
2011-04-06,75.419997
2011-04-07,75.27
2011-04-08,75.869991
2011-04-11,77.000002
2011-04-12,74.460004
2011-04-13,74.059993
2011-04-14,72.929995
2011-04-15,73.879992
2011-04-18,73.260003
2011-04-19,72.740002
2011-04-20,74.670008
2011-04-21,75.079997
2012-10-16,62.950002
2012-10-17,63.720003
2012-10-18,62.450003
2012-10-19,62.860002
2012-10-22,62.2
2012-10-23,61.149997
2012-10-24,60.719996
2012-10-25,60.829994
2012-10-26,59.679994
2012-10-31,61.779996
2012-11-01,59.999997
2012-11-02,60.170005
2012-11-06,59.979999
2012-11-07,59.859995
2012-12-17,59.459998
2013-01-23,61.579997
2013-01-24,61.700001
2013-01-25,61.939995
2013-01-28,62.160004
2013-01-29,61.980003
2013-01-30,63.849999
2013-01-31,61.809999
2013-03-28,63.790006
2013-04-09,63.610005
2013-04-10,64.740003
2013-04-11,64.429997
2013-04-12,63.220004
2013-04-29,61.629998
2013-04-30,62.369995
2013-05-08,64.220006
2013-05-09,64.130005
2013-05-10,63.74
2013-05-13,62.459996
2013-05-14,63.229996
2013-05-15,63.939999
2013-05-16,63.990004
2013-05-17,63.959997
2013-05-21,64.89
2013-06-07,64.179997
2013-06-10,65.739996
2013-06-11,65.14
2013-06-12,65.039994
2013-06-13,63.220004
2013-06-17,63.639999
2013-06-19,63.409997
2013-06-27,61.640003
2013-07-01,61.410002
2013-07-02,61.450001
2013-07-08,61.930003
2013-07-09,62.360003
2013-07-10,62.720001
2013-07-11,63.810003
2013-07-12,64.049997
2013-07-15,64.609998
2013-07-16,64.909998
2013-07-17,64.490003
2013-07-18,65.129994
2013-07-19,65.980003
2013-07-22,67.000003
2013-07-23,67.290002
2013-07-24,67.899999
2013-07-25,67.770003
2013-07-26,67.930007
2013-07-29,67.529996
2013-07-30,67.279997
2013-07-31,67.31
2013-08-01,68.150003
2013-08-02,71.860004
2013-08-05,71.110001
2013-08-06,71.06
2013-08-07,70.069999
2013-08-08,70.989997
2013-08-09,70.34
2013-08-12,70.489994
2013-08-13,71.119993
2013-08-14,70.370004
2013-08-15,69.510003
2013-08-16,69.53
2013-08-19,68.139997
2013-08-20,67.759998
2013-08-21,67.410006
2013-08-22,66.779993
2013-08-23,67.340003
2013-08-26,67.029997
2013-08-27,65.469994
2013-08-28,65.600003
2013-08-29,65.940003
2013-08-30,66.070004
2013-09-05,60.509998
2013-09-06,61.259998
2013-09-09,61.73
2013-09-10,62.509998
2013-09-11,62.419998
2013-09-12,62.66
2013-09-13,61.990002
2013-09-16,62.209999
2013-09-17,61.700001
2013-09-18,61.610001
2013-09-19,62.299999
2013-09-20,61.560001
2013-09-23,61.189999
2013-09-24,61.02
2013-09-25,61.5
2013-09-26,61.450001
2013-09-27,61.060001
2013-09-30,60.52
2013-10-01,60.080002
2013-10-02,60.560001
2013-10-03,61.73
2013-10-04,61.900002
2013-10-07,62.459999
2013-10-08,61.799999
2013-11-12,62.77
2013-11-13,61.139999
2013-11-15,62.27
2013-11-18,63.169998
2013-11-19,62.849998
2013-11-20,63.450001
2013-11-21,63.299999
2013-11-22,63.689999
2013-11-25,64.080002
2013-11-26,63.98
2013-11-27,64.779999
2013-11-29,65.029999
2013-12-02,65.18
2013-12-03,64.860001
2013-12-04,65.209999
2013-12-05,64.529999
2013-12-23,63.990002
2013-12-24,63.740002
2014-07-22,66.889999
